Timestamp_ms,K_Type_Temp_C,PT100_Temp_C,Error_C
118000,26.29,25.0,1.29
118500,26.28,25.0,1.28
119000,26.17,25.0,1.17
119500,26.32,25.0,1.32
120000,26.33,25.0,1.33
120500,26.25,25.0,1.25
121000,26.21,25.0,1.21
121500,26.25,25.0,1.25
122000,26.23,25.0,1.23
122500,26.44,25.0,1.44
123000,26.08,25.0,1.08
123500,25.94,25.0,0.94
124000,25.84,25.0,0.84
124500,25.92,25.0,0.92
125000,25.8,25.0,0.8
125500,25.87,25.0,0.87
126000,25.9,25.0,0.9
126500,25.87,25.0,0.87
127000,26.02,25.0,1.02
127500,26.06,25.0,1.06
128000,25.96,25.0,0.96
128500,25.9,25.0,0.9
129000,25.75,25.0,0.75
129500,25.91,25.0,0.91
130000,25.87,25.0,0.87
130500,25.7,25.0,0.7
131000,25.75,25.0,0.75
131500,25.5,25.0,0.5
132000,25.42,25.0,0.42
132500,25.45,25.0,0.45
133000,25.49,25.0,0.49
133500,25.57,25.0,0.57
134000,25.43,25.0,0.43
134500,25.6,25.0,0.6
135000,25.69,25.0,0.69
135500,25.87,25.0,0.87
136000,25.77,25.0,0.77
136500,26.22,25.0,1.22
137000,26.11,25.0,1.11
137500,26.02,25.0,1.02
138000,26.2,25.0,1.2
138500,26.1,25.0,1.1
139000,26.23,25.0,1.23
139500,26.14,25.0,1.14
140000,26.08,25.0,1.08
140500,26.09,25.0,1.09
141000,25.99,25.0,0.99
141500,26.02,25.0,1.02
142000,26.01,25.0,1.01
142500,25.96,25.0,0.96
143000,26.16,25.0,1.16
143500,26.09,25.0,1.09
144000,26.03,25.0,1.03
144500,25.6,25.0,0.6
145000,25.63,25.0,0.63
145500,25.52,25.0,0.52
146000,25.73,25.0,0.73
146500,25.85,25.0,0.85
147000,25.96,25.0,0.96
147500,25.66,25.0,0.66
148000,25.57,25.0,0.57
148500,25.69,25.0,0.69
149000,25.57,25.0,0.57
149500,25.43,25.0,0.43
150000,25.37,25.0,0.37
150500,25.4,25.0,0.4
151000,25.65,25.0,0.65
151500,25.85,25.0,0.85
152000,26.07,25.0,1.07
152500,26.27,25.0,1.27
153000,26.17,25.0,1.17
153500,26.29,25.0,1.29
154000,26.3,25.0,1.3
154500,25.98,25.0,0.98
155000,26.08,25.0,1.08
155500,26.11,25.0,1.11
156000,26.1,25.0,1.1
156500,26.01,25.0,1.01
157000,26.12,25.0,1.12
157500,26.03,25.0,1.03
158000,25.88,25.0,0.88
158500,26.12,25.0,1.12
159000,26.2,25.0,1.2
159500,26.22,25.0,1.22
160000,26.38,25.0,1.38
160500,26.2,25.0,1.2
161000,26.26,25.0,1.26
161500,26.01,25.0,1.01
162000,25.83,25.0,0.83
162500,25.87,25.0,0.87
163000,25.87,25.0,0.87
163500,25.89,25.0,0.89
164000,25.99,25.0,0.99
164500,25.91,25.0,0.91
165000,25.81,25.0,0.81
165500,25.82,25.0,0.82
166000,25.73,25.0,0.73
166500,25.41,25.0,0.41
167000,25.53,25.0,0.53
167500,25.58,25.0,0.58
168000,25.69,25.0,0.69
168500,25.57,25.0,0.57
169000,25.56,25.0,0.56
169500,25.51,25.0,0.51
170000,25.7,25.0,0.7
170500,25.49,25.0,0.49
171000,25.52,25.0,0.52
171500,25.5,25.0,0.5
172000,25.57,25.0,0.57
172500,25.44,25.0,0.44
173000,25.39,25.0,0.39
173500,25.34,25.0,0.34
174000,25.36,25.0,0.36
174500,25.47,25.0,0.47
175000,25.64,25.0,0.64
175500,25.59,25.0,0.59
176000,25.71,25.0,0.71
176500,25.48,25.0,0.48
177000,25.59,25.0,0.59
177500,25.56,25.0,0.56
178000,25.63,25.0,0.63
178500,25.61,25.0,0.61
179000,25.47,25.0,0.47
179500,25.43,25.0,0.43
180000,25.35,25.0,0.35
180500,25.36,25.0,0.36
181000,25.26,25.0,0.26
181500,25.49,25.0,0.49
182000,25.47,25.0,0.47
182500,25.57,25.0,0.57
183000,25.66,25.0,0.66
183500,25.63,25.0,0.63
184000,25.61,25.0,0.61
184500,25.59,25.0,0.59
185000,25.61,25.0,0.61
185500,25.87,25.0,0.87
186000,25.99,25.0,0.99
186500,26.04,25.0,1.04
187000,26.12,25.0,1.12
187500,25.95,25.0,0.95
188000,26.03,25.0,1.03
188500,26.2,25.0,1.2
189000,26.3,25.0,1.3
189500,26.15,25.0,1.15
190000,26.49,25.0,1.49
190500,26.36,25.0,1.36
191000,26.42,25.0,1.42
191500,26.15,25.0,1.15
192000,26.12,25.0,1.12
192500,26.31,25.0,1.31
193000,26.34,25.0,1.34
193500,26.29,25.0,1.29
194000,26.15,25.0,1.15
194500,26.0,25.0,1.0
195000,25.89,25.0,0.89
195500,26.03,25.0,1.03
196000,25.89,25.0,0.89
196500,26.04,25.0,1.04
197000,26.12,25.0,1.12
197500,26.13,25.0,1.13
198000,26.04,25.0,1.04
198500,26.04,25.0,1.04
199000,26.21,25.0,1.21
199500,26.42,25.0,1.42
200000,26.42,25.0,1.42
200500,26.4,25.0,1.4
201000,26.32,25.0,1.32
201500,26.14,25.0,1.14
202000,25.82,25.0,0.82
202500,25.89,25.0,0.89
203000,25.59,25.0,0.59
203500,25.45,25.0,0.45
204000,25.66,25.0,0.66
204500,25.79,25.0,0.79
205000,25.82,25.0,0.82
205500,25.75,25.0,0.75
206000,25.76,25.0,0.76
206500,25.84,25.0,0.84
207000,25.74,25.0,0.74
207500,25.58,25.0,0.58
208000,25.67,25.0,0.67
208500,25.81,25.0,0.81
209000,25.57,25.0,0.57
209500,25.48,25.0,0.48
210000,25.47,25.0,0.47
210500,25.43,25.0,0.43
211000,25.68,25.0,0.68
211500,25.6,25.0,0.6
212000,25.6,25.0,0.6
212500,25.56,25.0,0.56
213000,25.27,25.0,0.27
213500,25.26,25.0,0.26
214000,25.1,25.0,0.1
214500,25.38,25.0,0.38
215000,25.29,25.0,0.29
215500,25.04,25.0,0.04
216000,25.25,25.0,0.25
216500,25.46,25.0,0.46
217000,25.15,25.0,0.15
217500,25.19,25.0,0.19
218000,25.49,25.0,0.49
218500,25.45,25.0,0.45
219000,25.65,25.0,0.65
219500,25.86,25.0,0.86
220000,25.96,25.0,0.96
220500,25.96,25.0,0.96
221000,26.14,25.0,1.14
221500,26.01,25.0,1.01
222000,26.12,25.0,1.12
222500,26.1,25.0,1.1
223000,26.26,25.0,1.26
223500,26.25,25.0,1.25
224000,26.19,25.0,1.19
224500,26.13,25.0,1.13
225000,26.17,25.0,1.17
225500,26.19,25.0,1.19
226000,26.02,25.0,1.02
226500,26.35,25.0,1.35
227000,26.2,25.0,1.2
227500,26.05,25.0,1.05
228000,26.12,25.0,1.12
228500,26.22,25.0,1.22
229000,26.18,25.0,1.18
229500,26.21,25.0,1.21
230000,26.11,25.0,1.11
230500,25.84,25.0,0.84
231000,25.71,25.0,0.71
231500,25.64,25.0,0.64
232000,25.61,25.0,0.61
232500,25.73,25.0,0.73
233000,25.94,25.0,0.94
233500,25.92,25.0,0.92
234000,25.97,25.0,0.97
234500,26.03,25.0,1.03
235000,25.98,25.0,0.98
235500,25.68,25.0,0.68
236000,25.76,25.0,0.76
236500,25.91,25.0,0.91
237000,26.01,25.0,1.01
237500,25.83,25.0,0.83
238000,26.01,25.0,1.01
238500,26.12,25.0,1.12
239000,25.87,25.0,0.87
239500,25.97,25.0,0.97
240000,26.01,25.0,1.01
240500,26.25,25.0,1.25
241000,26.22,25.0,1.22
241500,26.22,25.0,1.22
242000,26.14,25.0,1.14
242500,26.12,25.0,1.12
243000,25.92,25.0,0.92
243500,25.72,25.0,0.72
244000,25.7,25.0,0.7
244500,25.74,25.0,0.74
245000,25.89,25.0,0.89
245500,26.01,25.0,1.01
246000,25.94,25.0,0.94
246500,25.99,25.0,0.99
247000,26.17,25.0,1.17
247500,26.24,25.0,1.24
248000,26.28,25.0,1.28
248500,26.38,25.0,1.38
249000,26.35,25.0,1.35
249500,26.54,25.0,1.54
250000,26.37,25.0,1.37
250500,26.56,25.0,1.56
251000,26.5,25.0,1.5
251500,26.17,25.0,1.17
252000,26.09,25.0,1.09
252500,26.1,25.0,1.1
253000,26.23,25.0,1.23
253500,26.1,25.0,1.1
254000,25.99,25.0,0.99
254500,26.22,25.0,1.22
255000,26.18,25.0,1.18
255500,26.08,25.0,1.08
256000,26.06,25.0,1.06
256500,25.86,25.0,0.86
257000,25.77,25.0,0.77
257500,25.51,25.0,0.51
258000,25.67,25.0,0.67
258500,25.97,25.0,0.97
259000,26.03,25.0,1.03
259500,25.84,25.0,0.84
260000,25.81,25.0,0.81
260500,25.62,25.0,0.62
261000,25.49,25.0,0.49
261500,25.67,25.0,0.67
262000,25.59,25.0,0.59
262500,25.73,25.0,0.73
263000,25.61,25.0,0.61
263500,25.67,25.0,0.67
264000,25.9,25.0,0.9
264500,25.9,25.0,0.9
265000,25.85,25.0,0.85
265500,25.53,25.0,0.53
266000,25.51,25.0,0.51
266500,25.45,25.0,0.45
267000,25.41,25.0,0.41
267500,25.49,25.0,0.49
268000,25.48,25.0,0.48
268500,25.41,25.0,0.41
269000,25.38,25.0,0.38
269500,25.3,25.0,0.3
270000,25.16,25.0,0.16
270500,25.2,25.0,0.2
271000,25.19,25.0,0.19
271500,25.16,25.0,0.16
272000,25.37,25.0,0.37
272500,25.68,25.0,0.68
273000,25.74,25.0,0.74
273500,25.87,25.0,0.87
274000,25.84,25.0,0.84
274500,25.87,25.0,0.87
275000,25.71,25.0,0.71
275500,25.47,25.0,0.47
276000,25.44,25.0,0.44
276500,25.31,25.0,0.31
277000,25.34,25.0,0.34
277500,25.26,25.0,0.26
278000,24.99,25.0,-0.01
278500,25.09,25.0,0.09
279000,25.01,25.0,0.01
279500,25.03,25.0,0.03
280000,24.82,25.0,-0.18
280500,24.98,25.0,-0.02
281000,24.98,25.0,-0.02
281500,25.05,25.0,0.05
282000,25.12,25.0,0.12
282500,25.3,25.0,0.3
283000,25.1,25.0,0.1
283500,25.27,25.0,0.27
284000,25.28,25.0,0.28
284500,25.31,25.0,0.31
285000,25.37,25.0,0.37
285500,25.41,25.0,0.41
286000,25.56,25.0,0.56
286500,25.49,25.0,0.49
287000,25.46,25.0,0.46
287500,25.42,25.0,0.42
288000,25.74,25.0,0.74
288500,25.73,25.0,0.73
289000,25.62,25.0,0.62
289500,25.73,25.0,0.73
290000,25.95,25.0,0.95
290500,25.92,25.0,0.92
291000,25.9,25.0,0.9
291500,25.58,25.0,0.58
292000,25.53,25.0,0.53
292500,25.45,25.0,0.45
293000,25.13,25.0,0.13
293500,25.15,25.0,0.15
294000,25.05,25.0,0.05
294500,24.93,25.0,-0.07
295000,25.14,25.0,0.14
295500,25.07,25.0,0.07
296000,25.41,25.0,0.41
296500,25.43,25.0,0.43
297000,25.35,25.0,0.35
297500,25.6,25.0,0.6
298000,25.71,25.0,0.71
298500,25.6,25.0,0.6
299000,25.35,25.0,0.35
299500,25.36,25.0,0.36
300000,25.38,25.0,0.38
300500,25.34,25.0,0.34
301000,25.2,25.0,0.2
301500,25.13,25.0,0.13
302000,25.22,25.0,0.22
302500,25.16,25.0,0.16
303000,25.29,25.0,0.29
303500,25.65,25.0,0.65
304000,25.62,25.0,0.62
304500,25.55,25.0,0.55
305000,25.75,25.0,0.75
305500,25.63,25.0,0.63
306000,25.69,25.0,0.69
306500,25.92,25.0,0.92
307000,25.59,25.0,0.59
307500,25.39,25.0,0.39
308000,25.42,25.0,0.42
308500,25.36,25.0,0.36
309000,25.45,25.0,0.45
309500,25.44,25.0,0.44
310000,25.53,25.0,0.53
310500,25.57,25.0,0.57
311000,25.81,25.0,0.81
311500,25.78,25.0,0.78
312000,25.79,25.0,0.79
312500,25.64,25.0,0.64
313000,25.76,25.0,0.76
313500,25.89,25.0,0.89
314000,25.89,25.0,0.89
314500,25.86,25.0,0.86
315000,25.87,25.0,0.87
315500,25.8,25.0,0.8
316000,25.74,25.0,0.74
316500,25.69,25.0,0.69
317000,25.74,25.0,0.74
317500,25.76,25.0,0.76
318000,25.72,25.0,0.72
318500,25.63,25.0,0.63
319000,25.78,25.0,0.78
319500,25.96,25.0,0.96
320000,25.95,25.0,0.95
320500,26.01,25.0,1.01
321000,26.02,25.0,1.02
321500,25.72,25.0,0.72
322000,25.51,25.0,0.51
322500,25.44,25.0,0.44
323000,25.63,25.0,0.63
323500,25.76,25.0,0.76
324000,25.88,25.0,0.88
324500,26.0,25.0,1.0
325000,25.87,25.0,0.87
325500,25.97,25.0,0.97
326000,25.82,25.0,0.82
326500,25.92,25.0,0.92
327000,25.82,25.0,0.82
327500,25.78,25.0,0.78
328000,25.61,25.0,0.61
328500,25.66,25.0,0.66
329000,25.67,25.0,0.67
329500,25.71,25.0,0.71
330000,25.6,25.0,0.6
330500,25.28,25.0,0.28
331000,25.13,25.0,0.13
331500,25.34,25.0,0.34
332000,25.46,25.0,0.46
332500,25.66,25.0,0.66
333000,25.52,25.0,0.52
333500,25.72,25.0,0.72
334000,25.68,25.0,0.68
334500,25.51,25.0,0.51
335000,25.27,25.0,0.27
335500,25.27,25.0,0.27
336000,25.28,25.0,0.28
336500,25.37,25.0,0.37
337000,25.67,25.0,0.67
337500,25.68,25.0,0.68
338000,25.67,25.0,0.67
338500,25.49,25.0,0.49
339000,25.58,25.0,0.58
339500,25.53,25.0,0.53
340000,25.54,25.0,0.54
340500,25.71,25.0,0.71
341000,25.51,25.0,0.51
341500,25.7,25.0,0.7
342000,25.62,25.0,0.62
342500,25.49,25.0,0.49
343000,25.64,25.0,0.64
343500,25.62,25.0,0.62
344000,25.72,25.0,0.72
344500,25.84,25.0,0.84
345000,25.65,25.0,0.65
345500,25.93,25.0,0.93
346000,25.76,25.0,0.76
346500,25.69,25.0,0.69
347000,25.71,25.0,0.71
347500,25.75,25.0,0.75
348000,25.72,25.0,0.72
348500,25.67,25.0,0.67
349000,25.42,25.0,0.42
349500,25.43,25.0,0.43
350000,25.48,25.0,0.48
350500,25.51,25.0,0.51
351000,25.66,25.0,0.66
351500,25.72,25.0,0.72
352000,25.88,25.0,0.88
352500,25.76,25.0,0.76
353000,25.55,25.0,0.55
353500,25.43,25.0,0.43
354000,25.6,25.0,0.6
354500,25.59,25.0,0.59
355000,25.81,25.0,0.81
355500,25.92,25.0,0.92
356000,25.95,25.0,0.95
356500,25.82,25.0,0.82
357000,25.73,25.0,0.73
357500,25.91,25.0,0.91
358000,25.79,25.0,0.79
358500,25.91,25.0,0.91
359000,25.95,25.0,0.95
359500,25.62,25.0,0.62
360000,25.7,25.0,0.7
360500,25.7,25.0,0.7
361000,25.57,25.0,0.57
361500,25.78,25.0,0.78
362000,25.72,25.0,0.72
362500,25.79,25.0,0.79
363000,25.89,25.0,0.89
363500,25.73,25.0,0.73
364000,25.64,25.0,0.64
364500,25.6,25.0,0.6
365000,25.45,25.0,0.45
365500,25.48,25.0,0.48
366000,25.57,25.0,0.57
366500,25.57,25.0,0.57
367000,25.96,25.0,0.96
367500,26.07,25.0,1.07
368000,26.09,25.0,1.09
368500,26.07,25.0,1.07
369000,26.1,25.0,1.1
369500,26.27,25.0,1.27
370000,26.14,25.0,1.14
370500,25.9,25.0,0.9
371000,25.97,25.0,0.97
371500,25.76,25.0,0.76
372000,25.75,25.0,0.75
372500,25.77,25.0,0.77
373000,25.66,25.0,0.66
373500,25.45,25.0,0.45
374000,25.32,25.0,0.32
374500,25.38,25.0,0.38
375000,25.55,25.0,0.55
375500,25.49,25.0,0.49
376000,25.5,25.0,0.5
376500,25.57,25.0,0.57
377000,25.87,25.0,0.87
377500,25.85,25.0,0.85
378000,25.69,25.0,0.69
378500,25.72,25.0,0.72
379000,26.04,25.0,1.04
379500,25.87,25.0,0.87
380000,25.69,25.0,0.69
380500,25.57,25.0,0.57
381000,25.56,25.0,0.56
381500,25.67,25.0,0.67
382000,25.56,25.0,0.56
382500,25.31,25.0,0.31
383000,25.24,25.0,0.24
383500,25.12,25.0,0.12
384000,25.34,25.0,0.34
384500,25.57,25.0,0.57
385000,25.75,25.0,0.75
385500,25.9,25.0,0.9
386000,25.83,25.0,0.83
386500,25.96,25.0,0.96
387000,25.98,25.0,0.98
387500,25.73,25.0,0.73
388000,25.62,25.0,0.62
388500,25.65,25.0,0.65
389000,25.51,25.0,0.51
389500,25.3,25.0,0.3
390000,25.31,25.0,0.31
390500,25.12,25.0,0.12
391000,25.0,25.0,-0.0
391500,25.24,25.0,0.24
392000,25.27,25.0,0.27
392500,25.47,25.0,0.47
393000,25.64,25.0,0.64
393500,25.45,25.0,0.45
394000,25.48,25.0,0.48
394500,25.6,25.0,0.6
395000,25.94,25.0,0.94
395500,25.92,25.0,0.92
396000,25.91,25.0,0.91
396500,25.92,25.0,0.92
397000,25.88,25.0,0.88
397500,25.98,25.0,0.98
398000,25.96,25.0,0.96
398500,25.77,25.0,0.77
399000,25.91,25.0,0.91
399500,26.01,25.0,1.01
400000,26.06,25.0,1.06
400500,25.9,25.0,0.9
401000,26.03,25.0,1.03
401500,25.83,25.0,0.83
402000,25.75,25.0,0.75
402500,25.77,25.0,0.77
403000,25.79,25.0,0.79
403500,25.76,25.0,0.76
404000,25.94,25.0,0.94
404500,25.84,25.0,0.84
405000,25.73,25.0,0.73
405500,25.87,25.0,0.87
406000,25.91,25.0,0.91
406500,26.1,25.0,1.1
407000,25.84,25.0,0.84
407500,25.89,25.0,0.89
408000,26.19,25.0,1.19
408500,26.19,25.0,1.19
409000,26.21,25.0,1.21
409500,26.18,25.0,1.18
410000,26.31,25.0,1.31
410500,26.27,25.0,1.27
411000,26.25,25.0,1.25
411500,25.98,25.0,0.98
412000,25.87,25.0,0.87
412500,25.94,25.0,0.94
413000,26.02,25.0,1.02
413500,25.75,25.0,0.75
414000,25.63,25.0,0.63
414500,25.37,25.0,0.37
415000,25.48,25.0,0.48
415500,25.69,25.0,0.69
416000,25.72,25.0,0.72
416500,25.73,25.0,0.73
417000,25.75,25.0,0.75
417500,25.85,25.0,0.85
418000,25.97,25.0,0.97
418500,26.05,25.0,1.05
419000,26.2,25.0,1.2
419500,26.22,25.0,1.22
420000,26.2,25.0,1.2
420500,26.19,25.0,1.19
421000,25.96,25.0,0.96
421500,26.04,25.0,1.04
422000,26.08,25.0,1.08
422500,26.18,25.0,1.18
423000,26.02,25.0,1.02
423500,25.92,25.0,0.92
424000,25.78,25.0,0.78
424500,26.1,25.0,1.1
425000,26.25,25.0,1.25
425500,26.15,25.0,1.15
426000,26.24,25.0,1.24
426500,26.24,25.0,1.24
427000,26.18,25.0,1.18
427500,26.03,25.0,1.03
428000,26.15,25.0,1.15
428500,26.3,25.0,1.3
429000,26.28,25.0,1.28
429500,26.28,25.0,1.28
430000,26.28,25.0,1.28
430500,26.24,25.0,1.24
431000,25.92,25.0,0.92
431500,25.68,25.0,0.68
432000,25.8,25.0,0.8
432500,25.63,25.0,0.63
433000,25.41,25.0,0.41
433500,25.4,25.0,0.4
434000,25.23,25.0,0.23
434500,25.42,25.0,0.42
435000,25.29,25.0,0.29
435500,25.26,25.0,0.26
436000,25.18,25.0,0.18
436500,25.39,25.0,0.39
437000,25.49,25.0,0.49
437500,25.37,25.0,0.37
438000,25.35,25.0,0.35
438500,25.48,25.0,0.48
439000,25.56,25.0,0.56
439500,25.53,25.0,0.53
440000,25.64,25.0,0.64
440500,25.92,25.0,0.92
441000,25.77,25.0,0.77
441500,25.89,25.0,0.89
442000,25.67,25.0,0.67
442500,25.91,25.0,0.91
443000,25.78,25.0,0.78
443500,25.66,25.0,0.66
444000,25.4,25.0,0.4
444500,25.17,25.0,0.17
445000,25.27,25.0,0.27
445500,25.22,25.0,0.22
446000,25.07,25.0,0.07
446500,25.01,25.0,0.01
447000,25.23,25.0,0.23
447500,25.42,25.0,0.42
448000,25.54,25.0,0.54
448500,25.75,25.0,0.75
449000,25.53,25.0,0.53
449500,25.74,25.0,0.74
450000,25.76,25.0,0.76
450500,25.65,25.0,0.65
451000,25.5,25.0,0.5
451500,25.52,25.0,0.52
452000,25.51,25.0,0.51
452500,25.55,25.0,0.55
453000,25.6,25.0,0.6
453500,25.82,25.0,0.82
454000,25.99,25.0,0.99
454500,25.92,25.0,0.92
455000,25.95,25.0,0.95
455500,26.09,25.0,1.09
456000,26.17,25.0,1.17
456500,26.24,25.0,1.24
457000,26.23,25.0,1.23
457500,26.02,25.0,1.02
458000,26.11,25.0,1.11
458500,26.2,25.0,1.2
459000,26.15,25.0,1.15
459500,26.2,25.0,1.2
460000,26.03,25.0,1.03
460500,26.11,25.0,1.11
461000,25.9,25.0,0.9
461500,25.91,25.0,0.91
462000,25.78,25.0,0.78
462500,25.78,25.0,0.78
463000,26.13,25.0,1.13
